#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1755241473843453696,-0.142737,0.596926,-0.158454,0.256865,-0.775956,-0.321009,-0.4784,-0.119392,-0.159577,0.0283341,0.0101224,-0.0370233,0.0191215,-0.0743146,-0.127359,0.380672
1755241473853453568,-0.143839,0.595283,-0.158128,0.261835,-0.774894,-0.321765,-0.476916,-0.101046,-0.169562,0.0366645,0.0101035,-0.0370356,0.0190983,-0.0743582,-0.127513,0.380671
1755241473863453696,-0.144758,0.593523,-0.157731,0.266551,-0.773557,-0.323258,-0.475461,-0.0828888,-0.182666,0.0423795,0.0100853,-0.0370487,0.0190743,-0.0744011,-0.127667,0.380672
1755241473873453568,-0.145504,0.59163,-0.157292,0.271243,-0.772063,-0.325303,-0.47384,-0.0664255,-0.195764,0.0450275,0.0100675,-0.0370624,0.0190499,-0.0744435,-0.127823,0.380675
1755241473883453696,-0.146097,0.589621,-0.156842,0.275929,-0.770485,-0.327515,-0.472177,-0.0524076,-0.205437,0.044418,0.0100501,-0.0370761,0.0190256,-0.0744857,-0.12798,0.380679
1755241473893453568,-0.146558,0.587546,-0.156418,0.280572,-0.76883,-0.329737,-0.470588,-0.0400548,-0.208733,0.0401834,0.0100328,-0.0370891,0.019002,-0.0745277,-0.128137,0.380685
1755241473903453696,-0.146907,0.585472,-0.156044,0.285151,-0.767223,-0.332095,-0.468797,-0.0299144,-0.205303,0.0347292,0.0100156,-0.0371012,0.0189793,-0.0745694,-0.128296,0.380692
1755241473913453568,-0.147155,0.583461,-0.155714,0.289859,-0.765559,-0.334475,-0.466934,-0.0195501,-0.196208,0.0314727,0.00999846,-0.0371125,0.0189577,-0.0746111,-0.128455,0.3807
1755241473923453696,-0.147295,0.581565,-0.155404,0.294592,-0.763865,-0.336742,-0.465114,-0.00835966,-0.182592,0.0308377,0.00998132,-0.037123,0.0189371,-0.0746528,-0.128616,0.38071
1755241473933453568,-0.147321,0.579818,-0.155095,0.299406,-0.762089,-0.33899,-0.463316,0.00299634,-0.166448,0.0310685,0.00996379,-0.0371331,0.0189173,-0.0746947,-0.128778,0.380721
1755241473943453440,-0.147239,0.578244,-0.154781,0.30457,-0.760024,-0.341371,-0.461592,0.0133452,-0.148256,0.0315714,0.00994496,-0.0371435,0.0188977,-0.0747369,-0.128941,0.380733
1755241473953453568,-0.147064,0.57686,-0.154464,0.310375,-0.757601,-0.343472,-0.460147,0.021304,-0.128413,0.031838,0.00992406,-0.0371541,0.018878,-0.0747797,-0.129106,0.380746
1755241473963453440,-0.146814,0.575674,-0.154145,0.316362,-0.755131,-0.344946,-0.459026,0.0286788,-0.108944,0.0322038,0.00990087,-0.0371647,0.0188578,-0.0748232,-0.129271,0.380761
1755241473973453568,-0.146492,0.57468,-0.153814,0.321614,-0.752854,-0.345828,-0.458453,0.0355813,-0.0897593,0.0342597,0.0098755,-0.0371753,0.0188374,-0.0748675,-0.129438,0.380778
1755241473983453440,-0.14611,0.573883,-0.153449,0.325347,-0.750995,-0.346169,-0.458609,0.0404838,-0.0695921,0.0389192,0.00984882,-0.0371859,0.018817,-0.0749124,-0.129605,0.380798
1755241473993453568,-0.145695,0.573291,-0.153029,0.327801,-0.749686,-0.345695,-0.459361,0.0422512,-0.0489333,0.0452772,0.00982229,-0.0371966,0.0187968,-0.074958,-0.129773,0.38082
1755241474003453440,-0.145277,0.572903,-0.152543,0.328676,-0.749309,-0.343796,-0.460774,0.0410918,-0.0289195,0.0516101,0.00979677,-0.0372074,0.018777,-0.0750042,-0.129941,0.380845
1755241474013453568,-0.144881,0.572701,-0.152011,0.328576,-0.749724,-0.340766,-0.462418,0.0380389,-0.0118366,0.0541266,0.00977203,-0.0372184,0.0187576,-0.0750506,-0.130109,0.380873
1755241474023453440,-0.144505,0.572646,-0.15149,0.32807,-0.75053,-0.33724,-0.464052,0.0375537,0.000265365,0.0494237,0.00974769,-0.0372296,0.0187381,-0.075097,-0.130276,0.380903
1755241474033453568,-0.144113,0.572701,-0.151032,0.32682,-0.751685,-0.333282,-0.46592,0.0415742,0.0104334,0.0420243,0.0097236,-0.0372409,0.0187181,-0.0751429,-0.130442,0.380936
1755241474043453440,-0.14365,0.572848,-0.150649,0.32446,-0.753165,-0.328916,-0.468275,0.0519288,0.0187544,0.034735,0.0096998,-0.037252,0.018697,-0.0751881,-0.130607,0.380972
1755241474053453568,-0.143053,0.573072,-0.150332,0.320628,-0.755223,-0.324026,-0.471002,0.0679603,0.025886,0.028814,0.00967611,-0.037263,0.0186747,-0.0752324,-0.130771,0.381009
1755241474063453440,-0.142273,0.573359,-0.150065,0.315189,-0.757548,-0.318674,-0.474577,0.0884643,0.0314449,0.0249534,0.00965219,-0.0372739,0.0186512,-0.0752756,-0.130932,0.38105
1755241474073453312,-0.141276,0.573693,-0.149826,0.308723,-0.759942,-0.313093,-0.478697,0.111079,0.0351398,0.0227246,0.00962787,-0.037285,0.0186264,-0.075318,-0.131092,0.381092
1755241474083453440,-0.140055,0.574057,-0.14962,0.300973,-0.762558,-0.307007,-0.483391,0.133133,0.0373747,0.0182152,0.00960333,-0.037296,0.018601,-0.0753595,-0.131249,0.381137
1755241474093453312,-0.13861,0.574431,-0.149472,0.291911,-0.765237,-0.300455,-0.488801,0.155956,0.0371607,0.0111609,0.00957883,-0.037307,0.0185754,-0.0754001,-0.131405,0.381183
1755241474103453440,-0.136933,0.5748,-0.149404,0.280923,-0.768003,-0.293375,-0.495161,0.179363,0.0367361,0.00203114,0.00955411,-0.0373174,0.0185498,-0.07544,-0.131558,0.381232
1755241474113453312,-0.135016,0.575174,-0.14944,0.265973,-0.771404,-0.284405,-0.503298,0.204509,0.0382992,-0.00962592,0.00952868,-0.0373269,0.0185239,-0.0754792,-0.13171,0.381282
1755241474123453440,-0.132818,0.575567,-0.149611,0.247208,-0.77533,-0.273291,-0.512897,0.235862,0.0402376,-0.0247316,0.00950274,-0.0373352,0.0184974,-0.0755177,-0.13186,0.381334
1755241474133453312,-0.130276,0.575966,-0.149937,0.226054,-0.7791,-0.260941,-0.523271,0.273368,0.038734,-0.0403407,0.00947756,-0.0373424,0.0184706,-0.0755557,-0.132009,0.381387
1755241474143453440,-0.127323,0.576315,-0.150403,0.203821,-0.781994,-0.248416,-0.534072,0.317584,0.0302889,-0.0519162,0.00945463,-0.0373494,0.0184448,-0.0755932,-0.132157,0.381441
1755241474153453312,-0.12392,0.57655,-0.150948,0.181823,-0.782665,-0.237457,-0.545885,0.362605,0.0161358,-0.0561858,0.00943435,-0.0373567,0.0184205,-0.0756305,-0.132304,0.381495
1755241474163453440,-0.120093,0.576632,-0.151499,0.161716,-0.78048,-0.229321,-0.558669,0.4015,0.000385062,-0.0528417,0.00941629,-0.0373636,0.0183973,-0.0756679,-0.132449,0.38155
1755241474173453312,-0.115927,0.576568,-0.151971,0.143451,-0.776394,-0.222695,-0.571875,0.429981,-0.0126177,-0.0408721,0.00939985,-0.0373699,0.0183751,-0.0757059,-0.132594,0.381605
1755241474183453440,-0.111539,0.576401,-0.152308,0.124485,-0.771758,-0.215528,-0.585184,0.446056,-0.0201968,-0.0260836,0.00938448,-0.0373761,0.0183541,-0.0757448,-0.132738,0.38166
1755241474193453312,-0.10705,0.57618,-0.152471,0.103678,-0.766943,-0.206787,-0.598571,0.450268,-0.0229437,-0.00539137,0.00937015,-0.0373826,0.0183343,-0.0757849,-0.13288,0.381715
1755241474203453184,-0.102566,0.575976,-0.152367,0.0814877,-0.761819,-0.196007,-0.612024,0.445222,-0.0166274,0.0268465,0.00935684,-0.0373893,0.0183158,-0.0758266,-0.13302,0.38177
1755241474213453312,-0.0981771,0.575876,-0.15196,0.0582309,-0.756626,-0.182824,-0.625061,0.431493,-0.00297267,0.0532395,0.00934417,-0.037396,0.018299,-0.0758697,-0.13316,0.381826
1755241474223453184,-0.093955,0.575914,-0.151347,0.0341848,-0.751283,-0.167296,-0.637509,0.412401,0.0103581,0.0677195,0.00933203,-0.0374027,0.0182835,-0.075914,-0.133298,0.381881
1755241474233453312,-0.0899342,0.576064,-0.150648,0.00880157,-0.745652,-0.14977,-0.649226,0.391475,0.0189821,0.0709103,0.00932088,-0.0374089,0.0182682,-0.0759594,-0.133434,0.381937
1755241474243453184,-0.0861315,0.576259,-0.149961,0.0165444,0.739336,0.132123,0.66004,0.368438,0.0187527,0.065741,0.00931119,-0.0374142,0.0182526,-0.0760055,-0.13357,0.381993
1755241474253453312,-0.0825896,0.576386,-0.149347,0.0379864,0.732478,0.117743,0.669455,0.338826,0.00578949,0.0566502,0.009303,-0.0374192,0.0182368,-0.076052,-0.133705,0.38205
1755241474263453184,-0.0793825,0.576389,-0.148831,0.0533178,0.725688,0.10864,0.677297,0.301727,-0.00391617,0.0465444,0.00929627,-0.0374247,0.0182216,-0.076099,-0.133839,0.382109
1755241474273453312,-0.0765699,0.576353,-0.148416,0.065448,0.719296,0.102093,0.684037,0.260291,-0.00179764,0.0364435,0.00929082,-0.0374311,0.0182071,-0.0761463,-0.133972,0.382168
1755241474283453184,-0.0741888,0.576376,-0.148093,0.0770252,0.713265,0.0954173,0.690084,0.215486,0.00676946,0.0283152,0.00928587,-0.0374379,0.0181932,-0.0761937,-0.134104,0.382228
1755241474293453312,-0.0722695,0.576491,-0.147845,0.088405,0.707711,0.0886465,0.695321,0.168095,0.0163467,0.021322,0.00928053,-0.0374434,0.0181793,-0.0762411,-0.134236,0.382288
1755241474303453184,-0.0708283,0.576703,-0.147666,0.0986278,0.703197,0.0832332,0.699185,0.120131,0.0260008,0.014754,0.00927435,-0.0374467,0.0181647,-0.0762882,-0.134368,0.38235
